id	successful	dissovet	speciality	title	author	supervisor	uploaded	defended	interval
358403	True	06.19.00	05.11.07	Оптико-электронное устройство формирования динамического визуального изображения  для целей светотерапии	Сапунова Наталия Петровна	Прокопенко Виктор Трофимович	01.07.2021	12.10.2021	103
454835	True	11.21.00	05.11.13	Разработка системы мониторинга и нейтрализации выхлопных газов двигателей внутреннего сгорания в местах их настройки, обкатки и регулировки	Гхеллаб Яхья	Андреев Юрий Сергеевич	15.11.2021	15.12.2021	30
470040	True	06.19.00	05.11.01	Повышение частотной стабильности одномодового вертикально-излучающего лазера спектрального диапазона 1,55 мкм с использованием дополнительного поляризационно-чувствительного внешнего резонатора на основе волоконной решетки брэгга	Шулепов Владимир Андреевич	Аксарин Станислав Михайлович	24.11.2021	24.12.2021	30
472401	True	11.21.00	05.11.14	Разработка автоматизированной технологии изготовления трубчатых трансформируемых элементов из термопластичных композиционных материалов	Ювшин Александр Михайлович	Андреев Юрий Сергеевич	16.11.2021	17.12.2021	31
745224	True	03.22.00	2.5.4	Исследование и разработка системы управления ветроэнергетической установкой на эффекте магнуса	Лукин Александр Евгеньевич	Демидова Галина Львовна	22.11.2022	23.12.2022	31
745063	True	05.22.00	1.3.6	Оптические и спектрально-люминесцентные свойства серебряных ионообменных слоёв силикатных стекол, активированных редкоземельными ионами и галогенидами	Марасанов Дмитрий Вячеславович	Никоноров Николай Валентинович	16.11.2022	16.12.2022	30
726605	True	09.22.00	4.3.3	Разработка технологических решений для производства мясных рубленых полуфабрикатов из сырья животного и растительного происхождения с заданными качественными характеристиками	Мирошник Алексей Сергеевич	Ишевский Александр Леонидович	17.10.2022	17.11.2022	31
737658	True	05.22.00	1.3.6	Взаимодействие лазерного излучения с гибридными высокоиерархичными структурами	Миличко Валентин Андреевич	Белов Павел Александрович	15.03.2023	16.05.2023	62
476377	True	04.19.00	2.3.4	Интеллектуальная поддержка принятия решений для предупреждения поллинозов на основе автоматического распознавания изображений пыльцы	Ханжина Наталья Евгеньевна	Фильченков Андрей Александрович	19.11.2021	24.12.2021	35
228844	True	02.18.00	05.13.17	Методы обобщения и повышения производительности двухфазного генетического алгоритма со скрещиванием, компенсирующим воздействия мутаций	Басин Антон	Буздалов Максим Викторович	18.11.2020	18.12.2020	30
49122721		04.22.00	2.3.8	Методы классификации объектов в виде наборов строковых данных с применением графов де брейна	Иванов Артем Борисович	Ульянцев Владимир Игоревич	02.07.2025	24.10.2025	114
129138	True	02.18.00	05.13.17	Автоматическое чтение по губам с помощью lipsid-признаков	Главач Мирослав	Карпов Алексей Анатольевич	19.11.2019	19.12.2019	30
14074965	True	14.22.00	2.3.6	Анализ рисков нарушения информационной безопасности в индустриальных автоматизированных информационных системах	Асфха Амануэль Эстифанос	Заколдаев Данил Анатольевич	22.11.2024	24.12.2024	32
1032079	True	02.22.00	1.2.2	Методы построения моделей демографических историй	Носкова Екатерина Эдуардовна	Ульянцев Владимир Игоревич	22.11.2023	22.12.2023	30
431099	True	09.19.00	05.18.07	Разработка технологии функционального напитка адаптогенного действия для восстановления организма после алкогольной интоксикации	Хасанов Артур Раильевич	Баракова Надежда Васильевна	15.10.2021	17.11.2021	33
739787	True	11.22.00	2.2.8	Разработка методики акустико-эмиссионного контроля металлических изделий аддитивного производства	Ковалевич Анастасия Сергеевна	Кинжагулов Игорь Юрьевич	18.11.2022	21.12.2022	33
125370	True	05.19.00	01.04.05	Оптические волны в неэрмитовых системах с антилинейными симметриями	Зезюлин Дмитрий Александрович	Жаров Александр Александрович	18.10.2019	20.12.2019	63
